pair_rank,distance_m,stop_id_a,stop_name_a,stop_id_b,stop_name_b,trip_id,route_id,route_short_name,route_type,direction_id,stop_sequence_a,stop_sequence_b,sequence_relation
9,79.94590211471929,9022005002352001,Kisa torg,9022005004605001,Biblioteket Kisa,55700000075590917,9011005029000000,290,700,1,2,1,B before A
9,79.94590211471929,9022005002352001,Kisa torg,9022005004605001,Biblioteket Kisa,55700000075590926,9011005029000000,290,700,1,2,1,B before A
9,79.94590211471929,9022005002352001,Kisa torg,9022005004605001,Biblioteket Kisa,55700100075590917,9011005029000000,290,700,1,2,1,B before A
15,86.13426451387164,9022005000994002,Graversfors 2,9022005081036002,Näknakorset,55700000084370561,9011005090300000,903,700,0,6,9,A before B
15,86.13426451387164,9022005000994002,Graversfors 2,9022005081036002,Näknakorset,55700000084370585,9011005090300000,903,700,0,6,9,A before B
21,92.65257551749215,9022005000257002,Östantorp,9022005003435001,Koppargården,55700000075364991,9011005028700000,287,700,0,2,1,B before A
21,92.65257551749215,9022005000257002,Östantorp,9022005003435001,Koppargården,55700000075365033,9011005028700000,287,700,0,2,1,B before A
21,92.65257551749215,9022005000257002,Östantorp,9022005003435001,Koppargården,55700000075365075,9011005028700000,287,700,0,2,1,B before A
21,92.65257551749215,9022005000257002,Östantorp,9022005003435001,Koppargården,55700000075365117,9011005028700000,287,700,0,2,1,B before A
21,92.65257551749215,9022005000257002,Östantorp,9022005003435001,Koppargården,55700000075365159,9011005028700000,287,700,0,2,1,B before A
21,92.65257551749215,9022005000257002,Östantorp,9022005003435001,Koppargården,55700100075364991,9011005028700000,287,700,0,2,1,B before A
21,92.65257551749215,9022005000257002,Östantorp,9022005003435001,Koppargården,55700100075365033,9011005028700000,287,700,0,2,1,B before A
21,92.65257551749215,9022005000257002,Östantorp,9022005003435001,Koppargården,55700100075365075,9011005028700000,287,700,0,2,1,B before A
22,96.61304967847292,9022005002556003,Sunnebotorget,9022005003610001,Höjdvägen,55700000075364991,9011005028700000,287,700,0,29,28,B before A
22,96.61304967847292,9022005002556003,Sunnebotorget,9022005003610001,Höjdvägen,55700000075365033,9011005028700000,287,700,0,29,28,B before A
