distance_m,stop_id_a,stop_name_a,stop_lat_a,stop_lon_a,parent_station_a,stop_id_b,stop_name_b,stop_lat_b,stop_lon_b,parent_station_b
0.0,9022005000002001,Djäkneparksskolan,58.589541,16.198951,9021005000002000,9022005000002016,Djäkneparksskolan,58.589541,16.198951,9021005000002000
0.0,9022005000005002,Rådhuset,58.592623,16.18614,9021005000005000,9022005000005017,Rådhuset,58.592623,16.18614,9021005000005000
0.0,9022005000002002,Djäkneparksskolan,58.590476,16.198652,9021005000002000,9022005000002017,Djäkneparksskolan,58.590476,16.198652,9021005000002000
0.0,9022005000050022,Linköpings resecentrum,58.416717,15.62563,9021005000050000,9022005000050023,Linköpings resecentrum,58.416717,15.62563,9021005000050000
0.0,9022005000117001,Djurön,58.630489,16.338576,9021005000117000,9022005000117002,Djurön,58.630489,16.338576,9021005000117000
0.0,9022005000008001,Väster Tull,58.586384,16.176806,9021005000008000,9022005000008016,Väster Tull,58.586384,16.176806,9021005000008000
0.0,9022005000008002,Väster Tull,58.58622,16.177578,9021005000008000,9022005000008017,Väster Tull,58.58622,16.177578,9021005000008000
0.0,9022005000124019,Tranås station,58.038778,14.975496,9021005000124000,9022005000124043,Tranås station,58.038778,14.975496,9021005000124000
0.0,9022005000092001,Borggårds station,58.73147,15.550178,9021005000092000,9022005000092002,Borggårds station,58.73147,15.550178,9021005000092000
0.0,9022005000124001,Tranås station,58.038509,14.975519,9021005000124000,9022005000124002,Tranås station,58.038509,14.975519,9021005000124000
