stop_name,stop_ids,max_distance_m,example_stop_id_a,example_stop_id_b
Kullen,6,105490.81421428846,9022005002095002,9022005003291002
Industrigatan,4,95513.89464754186,9022005001790002,9022005003377001
Falla,4,92133.76933113369,9022005001557001,9022005003038001
Berga,6,81749.72373423201,9022005002462002,9022005001691001
Sörby,8,76947.29227558168,9022005002190001,9022005003710001
Brotorp,4,76916.256799974,9022005002389001,9022005002515001
Kummelby,4,74828.62819204543,9022005003345002,9022005001781002
Skördevägen,4,73036.0302022805,9022005001990002,9022005003688001
Kårtorp,4,71178.2562249509,9022005001961002,9022005002390001
Sporthallen,4,67443.49227462162,9022005000183002,9022005002558002
Unnerstad,4,62589.24649784952,9022005002881002,9022005001741001
Falkgatan,3,60642.18197898212,9022005003800001,9022005097027002
Kulla,3,57123.410326835095,9022005000195001,9022005003079002
Fridhem,4,55195.056426198724,9022005003019001,9022005002832002
Hamra,4,53199.22656833714,9022005002394002,9022005002681001
Ullevivägen,4,52188.130956657296,9022005002181002,9022005003210001
Björkbacken,3,51800.35881717389,9022005000040001,9022005003448001
Haga,4,51724.24903502209,9022005003039001,9022005002918001
Solberga,4,51294.81160784892,9022005004222001,9022005001889001
Hagalund,4,51102.76311967106,9022005003220002,9022005003043001
Karstorp,4,47256.335280208936,9022005001959001,9022005003081001
Stortorget,5,44299.5405699846,9022005001009002,9022005003600001
Myntgatan,4,39738.11972442945,9022005001232001,9022005002534002
Karlsborg,4,37747.617323962455,9022005003219002,9022005002909001
Stora Torget,6,36785.577968737205,9022005001268002,9022005000185002
Odalgatan,4,36102.09764983325,9022005004084001,9022005002275001
Sjövik,4,35796.18355203536,9022005001629002,9022005001281002
Nygård,4,34862.59273609352,9022005002527001,9022005002457001
Djurgården,4,32442.826691549886,9022005004236001,9022005002561001
Brink,4,31940.985777422164,9022005002182002,9022005002833001
Kyrkogården,4,29867.675479137102,9022005002374001,9022005003217001
Hasselbacken,4,19100.84814347212,9022005002710001,9022005002976002
Mörby,4,18774.030562141324,9022005002777002,9022005003203002
Lundby,4,16632.07262071556,9022005001681002,9022005081031002
Stenkullen,5,10079.194124824979,9022005001613002,9022005001746001
Missionskyrkan,3,8307.592763415018,9022005001173001,9022005062011001
Skogstorpets vägkors,2,383.41576460673514,9022005002143002,9022005002143001
Klevbrinken,2,329.26590717690283,9022005001787001,9022005001787002
Norrköpings resecentrum,14,326.99056068591733,9022005001000004,9022005001000026
Östra Starby,2,326.1109159632163,9022005003863002,9022005003863001
Nystugan,2,278.69292825616725,9022005003197002,9022005003197001
Mjölby resecentrum,8,274.4298992858179,9022005000126017,9022005000126018
Hitthem,2,270.6376052007323,9022005002467002,9022005002467001
Råbyvägen,2,267.9467966608563,9022005002372001,9022005002372002
Getå,2,258.31192511509965,9022005001618001,9022005001618002
Jakobsdal,2,250.82476711602536,9022005001332001,9022005001332002
Lötterna,2,250.19634502293889,9022005002127002,9022005002127001
Trehörna,2,248.54811218378157,9022005003188002,9022005003188001
Tegskiftesgatan,5,245.51108074910255,9022005000469002,9022005000469004
Eda,2,231.38046709144973,9022005002680002,9022005002680001
Harsby,2,225.80111630992835,9022005002000001,9022005002000002
Linköpings resecentrum,22,224.69017730482938,9022005000050029,9022005000050025
Kårgården,2,220.77090339774193,9022005002781002,9022005002781001
"Lämmetorp, norra",2,218.6687819845404,9022005002141002,9022005002141001
Kättsätter,2,217.86975303065307,9022005001956001,9022005001956002
Hagalundsvägen,2,215.73415040425968,9022005001459002,9022005001459001
Korsbrinken,2,215.43084554853047,9022005001786001,9022005001786002
Törnevalla kyrka,2,215.36961532487223,9022005001484001,9022005001484002
Ljungs östra bro,2,214.68397060835494,9022005002642001,9022005002642002
