Distance bin,Travel time std (min),Dataset
0-200 m,0.23260996686869997,Kodak 2026-02-04
200-400 m,0.3716551799380749,Kodak 2026-02-04
400-600 m,0.5254825557944645,Kodak 2026-02-04
600-800 m,0.6288435373509925,Kodak 2026-02-04
800-1000 m,0.6367773895421557,Kodak 2026-02-04
1000-1200 m,1.5857765751248978,Kodak 2026-02-04
1200-1400 m,0.9355839031049114,Kodak 2026-02-04
1400-1600 m,1.0513622960757745,Kodak 2026-02-04
1600-1800 m,0.799565953337196,Kodak 2026-02-04
1800-2000 m,0.5489137315149765,Kodak 2026-02-04
2000-2200 m,0.6999370866873504,Kodak 2026-02-04
2200-2400 m,2.2351588557843853,Kodak 2026-02-04
2400-2600 m,1.1288706152964794,Kodak 2026-02-04
2600-2800 m,0.866959982477364,Kodak 2026-02-04
2800-3000 m,1.1594945099174152,Kodak 2026-02-04
>3 km,4.614183138885515,Kodak 2026-02-04
0-200 m,0.2635125935485383,Kodak 2026-05-04
200-400 m,0.40534661912500797,Kodak 2026-05-04
400-600 m,0.5526885811923753,Kodak 2026-05-04
600-800 m,0.6452781462116822,Kodak 2026-05-04
800-1000 m,0.6595748314667239,Kodak 2026-05-04
1000-1200 m,1.181853288480339,Kodak 2026-05-04
1200-1400 m,1.1853571162236602,Kodak 2026-05-04
1400-1600 m,1.1030587998664072,Kodak 2026-05-04
1600-1800 m,1.0070067701384693,Kodak 2026-05-04
1800-2000 m,0.5558091597446387,Kodak 2026-05-04
2000-2200 m,0.6562473048360759,Kodak 2026-05-04
2200-2400 m,2.5489020535803952,Kodak 2026-05-04
2400-2600 m,1.0853593914947879,Kodak 2026-05-04
2600-2800 m,0.7923798569058713,Kodak 2026-05-04
2800-3000 m,1.1259898933433765,Kodak 2026-05-04
>3 km,4.625529400536813,Kodak 2026-05-04
0-200 m,0.2992772048700608,Kodak 2025-08-04
200-400 m,0.3234380464336534,Kodak 2025-08-04
400-600 m,0.5079735374298072,Kodak 2025-08-04
600-800 m,0.5621690120266412,Kodak 2025-08-04
800-1000 m,0.6548042571121683,Kodak 2025-08-04
1000-1200 m,1.170627249902784,Kodak 2025-08-04
1200-1400 m,0.9679357710394085,Kodak 2025-08-04
1400-1600 m,1.1541737097038978,Kodak 2025-08-04
1600-1800 m,0.7264612957345101,Kodak 2025-08-04
1800-2000 m,0.5675168529471475,Kodak 2025-08-04
2000-2200 m,0.7954172739318988,Kodak 2025-08-04
2200-2400 m,1.1036487434678828,Kodak 2025-08-04
2400-2600 m,1.0950930278664257,Kodak 2025-08-04
2600-2800 m,0.8737196724923502,Kodak 2025-08-04
2800-3000 m,1.0783811716670273,Kodak 2025-08-04
>3 km,4.6462992308588005,Kodak 2025-08-04
0-200 m,0.34985765881329184,Kodak 2025-11-04
200-400 m,0.34679392497285505,Kodak 2025-11-04
400-600 m,0.6172206417515553,Kodak 2025-11-04
600-800 m,0.6843834733065862,Kodak 2025-11-04
800-1000 m,0.6883428585721483,Kodak 2025-11-04
1000-1200 m,1.1399657665359757,Kodak 2025-11-04
1200-1400 m,1.1760633439145596,Kodak 2025-11-04
1400-1600 m,1.4022693571907585,Kodak 2025-11-04
1600-1800 m,0.9430593791973568,Kodak 2025-11-04
1800-2000 m,0.8627410033436624,Kodak 2025-11-04
2000-2200 m,0.8592143491746791,Kodak 2025-11-04
2200-2400 m,1.2147554329784378,Kodak 2025-11-04
2400-2600 m,1.2464230092153126,Kodak 2025-11-04
2600-2800 m,0.9005944173747951,Kodak 2025-11-04
2800-3000 m,1.0487265532240753,Kodak 2025-11-04
>3 km,4.780403680902427,Kodak 2025-11-04
